Rank,Name,Type,Tags
1,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,TV,action adventure fantasy shounen demons historical martialarts orphans siblings swordplay basedonamanga explicitviolence koyoharugotouge
2,Fruits Basket the Final Season,TV,drama fantasy romance shoujo animaltransformation contemporaryfantasy curse dysfunctionalfamilies mentalillness orphans basedonamanga emotionalabuse  maturethemes  physicalabuse  suicide  violence  domesticabuse natsukitakaya
3,Mo Dao Zu Shi 3,Web,fantasy ancientchina chineseanimation cultivation xianxia basedonawebnovel moxiangtongxiu
4,Fullmetal Alchemist: Brotherhood,TV,action adventure drama fantasy mystery shounen conspiracy deathofalovedone military siblings basedonamanga animalabuse  maturethemes  violence  domesticabuse hiromuarakawa
5,Attack on Titan 3rd Season: Part II,TV,action fantasy horror shounen darkfantasy isolatedsociety military outsideworld post-apocalyptic basedonamanga cannibalism  explicitviolence hajimeisayama
6,Jujutsu Kaisen,TV,action horror shounen curse exorcists monsters schoollife supernatural basedonamanga explicitviolence gegeakutami
7,Attack on Titan The Final Season: Part II,TV,action drama fantasy horror shounen darkfantasy military war basedonamanga hajimeisayama
8,Attack on Titan The Final Season,TV,action drama fantasy horror shounen darkfantasy military war basedonamanga explicitviolence  maturethemes  physicalabuse  suicide hajimeisayama
9,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,Movie,action drama fantasy shounen demons historical martialarts orphans siblings swordplay trains basedonamanga maturethemes  suicide  violence koyoharugotouge
10,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,TV,shounen sports animeism schoolclub schoollife tournaments volleyball basedonamanga haruichifurudate
11,your name.,Movie,drama romance bodyswapping genderbender oppositesattract schoollife supernatural originalwork
12,Haikyuu!! Second Season,TV,shounen sports schoolclub schoollife tournaments volleyball basedonamanga haruichifurudate
13,Demon Slayer: Kimetsu no Yaiba,TV,action adventure comedy drama fantasy shounen deathofalovedone demons historical martialarts orphans siblings swordplay basedonamanga violence koyoharugotouge
14,Hunter x Hunter (2011),TV,action adventure drama fantasy shounen monsters superpowers basedonamanga violence yoshihirotogashi
15,A Silent Voice,Movie,drama shounen disability melancholy mentalillness schoollife basedonamanga bullying  maturethemes  suicide yoshitokiooima
16,Violet Evergarden Movie,Movie,drama melancholy war basedonalightnovel violence kanaakatsuki
17,Haikyuu!! To the Top: Part II,TV,shounen sports animeism schoolclub tournaments volleyball basedonamanga haruichifurudate
18,Heaven Official's Blessing Special,Web,bl romance shounen-ai afterlife ancientchina chineseanimation demonking ghosts gods interspeciesrelationship non-humanprotagonists oppositesattract royalty supernatural xianxia basedonawebnovel moxiangtongxiu
19,That Time I Got Reincarnated as a Slime Season 2,TV,action adventure fantasy shounen cheats demons isekai kingdombuilding magic management modernknowledge monsters personinastrangeworld political reincarnation rpg slimes basedonamanga fuse
20,Given,TV,bl drama romance shounen-ai deathofalovedone music noitamina basedonamanga maturethemes  suicide natsukikizu
21,Code Geass: Lelouch of the Rebellion R2,TV,mecha scifi conspiracy mindgames overpoweredmaincharacters political psychological realrobot rebellions rivalries royalty secretidentity superpowers terrorism originalwork
22,Mo Dao Zu Shi 2,Web,action fantasy mystery ancientchina chineseanimation cultivation historical martialarts overpoweredmaincharacters supernatural swordplay war xianxia zombies basedonawebnovel violence moxiangtongxiu
23,Gintama: The Very Final,Movie,action comedy drama scifi shounen aliens feudaljapan gag parody samurai swordplay basedonamanga violence hideakisorachi
24,Link Click,Web,drama fantasy chineseanimation contemporaryfantasy superpowers timetravel urbanfantasy originalwork violence
25,Mob Psycho 100 II,TV,action comedy exorcists psychicpowers psychological schoollife supernatural superpowers basedonamanga violence one
26,Haikyuu!! To the Top,TV,shounen sports animeism schoolclub tournaments volleyball basedonamanga haruichifurudate
27,Fruits Basket 2nd Season,TV,comedy drama fantasy romance shoujo animaltransformation contemporaryfantasy curse dysfunctionalfamilies lovetriangle mentalillness orphans basedonamanga bullying  emotionalabuse  maturethemes  physicalabuse  domesticabuse natsukitakaya
28,The Promised Neverland,TV,fantasy horror mystery scifi shounen darkfantasy isolatedsociety mindgames noitamina orphans outsideworld psychological thriller basedonamanga maturethemes  domesticabuse  self-harm kaiushirai
29,Spirited Away,Movie,adventure fantasy curse familyfriendly japanesemythology magic personinastrangeworld youkai originalwork
30,That Time I Got Reincarnated as a Slime Season 2: Part II,TV,action adventure fantasy shounen cheats demons isekai kingdombuilding magic management modernknowledge monsters personinastrangeworld political reincarnation rpg slimes basedonamanga physicalabuse fuse
31,Heaven Official's Blessing,Web,action bl comedy drama romance shounen-ai afterlife ancientchina chineseanimation demonking demons ghosts gods heaven historical interspeciesrelationship non-humanprotagonists oppositesattract religion royalty supernatural xianxia basedonawebnovel bullying  violence moxiangtongxiu
32,Ranking of Kings,TV,action adventure fantasy comingofage disability royalty basedonamanga violence sousuketoka
33,Mushoku Tensei: Jobless Reincarnation - Part II,TV,action adventure drama fantasy romance demons isekai magic neet personinastrangeworld reincarnation basedonalightnovel maturethemes  violence
34,Gintama.: Shirogane no Tamashii-hen 2,TV,action comedy drama scifi shounen aliens crude feudaljapan gag samurai slapstick swordplay basedonamanga hideakisorachi
35,Clannad After Story,TV,drama romance adultcouples comingofage familylife illness basedonavisualnovel druguse  maturethemes
36,Mo Dao Zu Shi,Web,action adventure mystery ancientchina chineseanimation cultivation historical rebellions supernatural swordplay war xianxia zombies basedonawebnovel violence moxiangtongxiu
37,Gintama': Enchousen,TV,action comedy drama scifi shounen aliens crude feudaljapan gag parody samurai slapstick swordplay basedonamanga hideakisorachi
38,Banana Fish,TV,action drama shoujo america criminals gangs noitamina basedonamanga druguse  maturethemes  physicalabuse  prostitution  sexualabuse  violence akimiyoshida
39,Douluo Dalu 2,Web,action fantasy chineseanimation cultivation xianxia basedonawebnovel cganimation
40,Gintama Kanketsu-hen: Yorozuya yo Eien Nare,Movie,action comedy drama scifi shounen aliens feudaljapan samurai swordplay timetravel basedonamanga
41,Gintama.,TV,action comedy drama scifi shounen aliens crude feudaljapan gag samurai slapstick swordplay basedonamanga hideakisorachi
42,Gintama.: Shirogane no Tamashii-hen,TV,action comedy drama scifi shounen aliens crude feudaljapan gag samurai slapstick swordplay basedonamanga hideakisorachi
